priority,active,rule_id,rule_version,rule_name,action,match_exam_code,match_study_description_regex,match_procedure_regex,match_report_regex,exclude_procedure_regex,exclude_report_regex,case_class,area,type,acgme_description,acgme_def_category,keyword,component_label,mapping_confidence,needs_review_reason,notes
100,true,port_placement,1,Venous port placement,generate,IRFLUROCASCACCESS,,^venous port placement,,port removal|port check|no port placed,,Interventional Procedures,Venous Access General,Venous port placement,,,,dominant_procedure,high,,
100,true,port_removal,1,Port removal,generate,,,port removal,,,,Interventional Procedures,Venous Access General,Venous access explant,Port removal,Removal,,dominant_procedure,high,,
100,true,gu_catheter_exchange,1,GU catheter exchange,generate,IRTUBECHGL,,genitourinary catheter exchange|nephrostomy.*check/change|tube.*stent.*check/change,,placement,,Interventional Procedures,GU Intervention,GU tube/stent exchange,,,,dominant_procedure,high,,
100,true,gu_catheter_placement,1,GU catheter placement,generate,,,genitourinary catheter placement|nephrostomy tube placement,,,,Interventional Procedures,GU Intervention,Nephrostomy tube placement,,,,dominant_procedure,high,,
100,true,g_tube_placement,1,Gastrostomy placement,generate,IRGIPERC,,gastrostomy tube placement|gastrostomy placement,,exchange|conversion,,Interventional Procedures,GI Intervention,Percutaneous upper GI access,,,,dominant_procedure,high,,
100,true,gj_tube_exchange,1,GI tube exchange,generate,IRGJTBCHN,,gastrojejunostomy tube exchange|gastrostomy tube exchange|gastrostomy to gastrojejunostomy tube conversion,,,,Interventional Procedures,GI Intervention,GI tube maintenance general,,,,dominant_procedure,high,,
100,true,drain_placement,1,Drainage catheter placement,generate,,,drainage catheter placement|drain placement,,aspiration only,,Interventional Procedures,Drainage Procedures,Drainage tube placement,,,,dominant_procedure,high,,
100,true,aspiration_only,1,Fluid collection aspiration,generate,,,fluid collection aspiration|aspiration only,,,,Interventional Procedures,Drainage Procedures,Drainage tube placement,,,,dominant_procedure,medium,Aspiration only - verify ACGME category,
100,true,paracentesis,1,Paracentesis,generate,,,paracentesis,,,,Interventional Procedures,Drainage Procedures,Paracentesis,,,,secondary_paracentesis,high,,
100,true,tunneled_cvc,1,Tunneled central venous catheter placement,generate,,,tunneled central venous catheter placement,,removal|exchange,,Interventional Procedures,Venous Access General,Venous access tunneled placement,,,,dominant_procedure,high,,
